Model,Accuracy,Precision,Recall,F1 Score
SpectrumNet,0.9307971014492754,0.9346934306248803,0.9307971014492754,0.9300356320682762
SimpleCNN,0.8829710144927536,0.8820586788859716,0.8829710144927536,0.8815198717653203
ResNet50,0.9496376811594203,0.950693223333926,0.9496376811594203,0.9496052652853425
EfficientNet,0.9557971014492753,0.9566196431869304,0.9557971014492753,0.9557525649290199
