Model,Accuracy,Precision,Recall,F1 Score
SpectrumNet,0.9735507246376811,0.9740246539455144,0.9735507246376811,0.9736105066225246
SimpleCNN,0.9369565217391305,0.9381218421764861,0.9369565217391305,0.9369178068290764
ResNet50,0.9471014492753623,0.9482391557641978,0.9471014492753623,0.9470362631140536
EfficientNet,0.9615942028985507,0.9617546141336981,0.9615942028985507,0.9615509508737415
